operationNumber, size, height, averageNodeDepth, timeForOperation, operationType
695, 973, 11, 9.693731, 0.002000, insert
700, 973, 11, 9.705036, 0.003000, search
705, 974, 11, 9.715606, 0.004000, search
710, 973, 11, 9.714286, 0.006000, remove
715, 972, 11, 9.713992, 0.005000, remove
720, 972, 11, 9.725309, 0.002000, search
725, 973, 11, 9.726619, 0.003000, insert
730, 975, 11, 9.728205, 0.003000, remove
735, 975, 11, 9.725128, 0.002000, remove
740, 978, 11, 9.729039, 0.003000, insert
745, 975, 11, 9.738462, 0.004000, search
750, 976, 11, 9.738730, 0.006000, remove
755, 979, 11, 9.742594, 0.003000, insert
760, 979, 11, 9.741573, 0.006000, remove
765, 978, 11, 9.752556, 0.005000, search
770, 978, 11, 9.753579, 0.006000, remove
775, 979, 11, 9.752809, 0.004000, insert
780, 979, 11, 9.748723, 0.007000, insert
785, 981, 11, 9.750255, 0.006000, remove
790, 981, 11, 9.761468, 0.004000, search
795, 981, 11, 9.761468, 0.006000, insert
800, 978, 11, 9.758691, 0.003000, remove
805, 981, 11, 9.776758, 0.004000, search
810, 983, 11, 9.773143, 0.003000, insert
815, 979, 11, 9.779367, 0.002000, search
820, 980, 11, 9.781633, 0.006000, remove
825, 983, 11, 9.787386, 0.005000, remove
830, 987, 11, 9.791287, 0.006000, insert
835, 989, 11, 9.791709, 0.007000, insert
840, 988, 11, 9.791498, 0.003000, insert
845, 987, 11, 9.791287, 0.004000, remove
850, 987, 11, 9.802432, 0.002000, search
855, 984, 11, 9.808943, 0.003000, search
860, 983, 11, 9.816887, 0.004000, search
865, 986, 11, 9.819473, 0.007000, insert
870, 985, 11, 9.829442, 0.004000, search
875, 985, 11, 9.840609, 0.002000, search
880, 982, 11, 9.838086, 0.003000, remove
885, 985, 11, 9.840609, 0.003000, insert
890, 983, 11, 9.839268, 0.003000, insert
895, 982, 11, 9.838086, 0.006000, remove
900, 982, 11, 9.837067, 0.003000, insert
905, 982, 11, 9.836049, 0.006000, remove
910, 981, 11, 9.846075, 0.003000, search
915, 982, 11, 9.848269, 0.006000, remove
920, 983, 11, 9.853510, 0.004000, insert
925, 984, 11, 9.853659, 0.003000, insert
930, 984, 11, 9.854675, 0.006000, insert
935, 983, 11, 9.863683, 0.002000, search
940, 984, 11, 9.864837, 0.006000, insert
945, 986, 11, 9.866126, 0.004000, insert
950, 988, 11, 9.869433, 0.006000, insert
955, 990, 11, 9.881818, 0.002000, search
